School Name,District/Charter Holder Name,Content Area,Number Tested,Percent Passing,Performance Level,Performance Percentage
Verde Valley Montessori School - A Center for Creative Education,A Center for Creative Education,Math,32,38,Percent Performance Level 1,22
Academy Del Sol - Hope,"Academy Del Sol, Inc.",Math,347,46,Percent Performance Level 1,26
Academy of Building Industries,"Academy of Building Industries, Inc.",Math,52,19,Percent Performance Level 1,60
Academy of Mathematics and Science South,"Academy of Mathematics and Science South, Inc.",Math,321,39,Percent Performance Level 1,31
Academy of Math and Science,"Academy of Mathematics and Science, Inc.",Math,264,76,Percent Performance Level 1,8
Academy of Math and Science Camelback,"Academy of Mathematics and Science, Inc.",Math,576,31,Percent Performance Level 1,39
Academy of Tucson Elementary School,"Academy of Tucson, Inc.",Math,101,40,Percent Performance Level 1,23
Academy of Tucson High School,"Academy of Tucson, Inc.",Math,109,40,Percent Performance Level 1,40
Academy of Tucson Middle School,"Academy of Tucson, Inc.",Math,268,36,Percent Performance Level 1,26
Accelerated Learning Laboratory,Accelerated Elementary and Secondary Schools,Math,94,55,Percent Performance Level 1,27
ACCLAIM Academy,Acclaim Charter School,Math,246,23,Percent Performance Level 1,42
Acorn Montessori Charter School,Acorn Montessori Charter School,Math,261,56,Percent Performance Level 1,22
Agua Fria High School,Agua Fria Union High School District,Math,1343,33,Percent Performance Level 1,46
Desert Edge High School,Agua Fria Union High School District,Math,1144,33,Percent Performance Level 1,45
Millennium High School,Agua Fria Union High School District,Math,1667,38,Percent Performance Level 1,41
Verrado High School,Agua Fria Union High School District,Math,1474,40,Percent Performance Level 1,38
Aguila Elementary School,Aguila Elementary District,Math,105,46,Percent Performance Level 1,35
Ajo Elementary School,Ajo Unified District,Math,212,29,Percent Performance Level 1,49
Ajo High School,Ajo Unified District,Math,105,14,Percent Performance Level 1,67
Akimel O'Otham Pee Posh (3-5),"Akimel O'Otham Pee Posh Charter School, Inc.",Math,129,32,Percent Performance Level 1,34
Andalucia Middle School,Alhambra Elementary District,Math,1077,27,Percent Performance Level 1,53
Barcelona Middle School,Alhambra Elementary District,Math,725,21,Percent Performance Level 1,58
Carol G. Peck Elementary School,Alhambra Elementary District,Math,148,48,Percent Performance Level 1,31
Catalina Ventura School,Alhambra Elementary District,Math,877,35,Percent Performance Level 1,40
Cordova Elementary School,Alhambra Elementary District,Math,653,33,Percent Performance Level 1,44
Granada East School,Alhambra Elementary District,Math,1119,26,Percent Performance Level 1,52
